iteration,current_cost,best_cost,temperature
773,14.536000,14.536000,6.983373
774,14.536000,14.536000,6.983373
775,14.536000,14.536000,6.983373
776,14.536000,14.536000,6.983373
777,25.020000,14.536000,6.983373
778,14.536000,14.536000,6.983373
779,14.536000,14.536000,6.983373
780,15.122000,14.536000,6.983373
781,23.074000,14.536000,6.983373
782,22.376000,14.536000,6.983373
783,24.335000,14.536000,6.983373
784,24.335000,14.536000,6.983373
785,17.374000,14.536000,6.983373
786,22.173000,14.536000,6.983373
787,23.524000,14.536000,6.983373
788,25.458000,14.536000,6.983373
789,24.956000,14.536000,6.983373
790,24.956000,14.536000,6.983373
791,26.481000,14.536000,6.983373
792,26.141000,14.536000,6.983373
793,25.458000,14.536000,6.983373
794,23.681000,14.536000,6.983373
795,22.387000,14.536000,6.983373
796,23.342000,14.536000,6.983373
797,26.481000,14.536000,6.983373
798,26.682000,14.536000,6.983373
799,24.295000,14.536000,6.983373
800,21.598000,14.536000,6.983373
801,23.768000,14.536000,6.634204
802,23.768000,14.536000,6.634204
803,21.663000,14.536000,6.634204
804,23.524000,14.536000,6.634204
805,25.458000,14.536000,6.634204
806,23.768000,14.536000,6.634204
807,23.997000,14.536000,6.634204
808,22.139000,14.536000,6.634204
809,25.701000,14.536000,6.634204
810,22.139000,14.536000,6.634204
811,17.270000,14.536000,6.634204
812,17.270000,14.536000,6.634204
813,22.376000,14.536000,6.634204
814,20.767000,14.536000,6.634204
815,23.385000,14.536000,6.634204
816,21.465000,14.536000,6.634204
817,23.367000,14.536000,6.634204
